workload_id,workload_name,provider,region,instance_type,vcpus,memory_gb,runtime_hours,avg_cpu_utilization,avg_memory_utilization,start_time,end_time
gcp-ml-001,Vertex AI Training,GCP,us-central1,n1-standard-8-nvidia-tesla-v100,8,30,15.5,88.4,62.5,2026-01-15T11:00:00Z,2026-01-16T02:30:00Z
gcp-ml-002,BigQuery ML Model,GCP,us-east1,n2-highmem-16,16,128,8.2,72.8,85.4,2026-01-15T06:00:00Z,2026-01-15T14:12:00Z
gcp-data-001,Dataflow Pipeline,GCP,us-central1,n1-standard-4,4,15,4.8,68.5,58.2,2026-01-15T01:00:00Z,2026-01-15T05:48:00Z
gcp-data-002,BigQuery Analytics,GCP,europe-west1,n2-standard-8,8,32,2.5,45.2,72.8,2026-01-15T09:00:00Z,2026-01-15T11:30:00Z
gcp-gke-001,GKE Production Cluster,GCP,us-central1,e2-standard-4,4,16,720,52.4,48.8,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
gcp-gke-002,GKE Staging Cluster,GCP,us-east1,e2-standard-2,2,8,720,22.5,35.4,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
gcp-run-001,Cloud Run Service,GCP,us-central1,2vcpu-2gb,2,2,720,38.5,42.8,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
gcp-batch-001,Batch Compute Job,GCP,us-west1,c2-standard-30,30,120,5.2,92.8,78.4,2026-01-16T02:00:00Z,2026-01-16T07:12:00Z
gcp-sql-001,Cloud SQL Instance,GCP,us-central1,db-custom-4-15360,4,15,720,28.4,55.2,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
gcp-ai-001,AI Platform Prediction,GCP,us-central1,n1-standard-2-nvidia-tesla-t4,2,7.5,720,35.8,28.5,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
